#GENERATED_BY	cgatools
#GENERATED_AT	2011-Mar-07 14:40:58.431956
#SOFTWARE_VERSION	0.0.0
#TYPE	EVIDENCE_CACHE
#SLIDE	GS10364-FS3
#LANE	L04
#BATCH_FILE_NUMBER	5

>DnbOffsetInLaneFile	IntervalId	Chromosome	Side	Strand	OffsetInAllele	AlleleAlignment	OffsetInReference	ReferenceAlignment	MateOffsetInReference	MateReferenceAlignment	MappingQuality	AlleleConcordance
195453	49	chr21	R	-	-5	5M2B10M0N10M6N10M	9722460	5M2B10M0N10M6N10M	9722763	10M5N10M0N10M2B5M	,	4.03179e-60
195453	55	chr21	L	-	3	10M5N10M0N10M2B5M	9722763	10M5N10M0N10M2B5M	9722460	5M2B10M0N10M6N10M	<	0.114801
195453	55	chr21	L	-	3	10M5N10M0N10M2B5M	9722763	10M5N10M0N10M2B5M	9722460	5M2B10M0N10M6N10M	<	2.6124e-70
205180	57	chr21	R	-	-4	5M2B10M0N10M6N10M	9722862	5M2B10M0N10M6N10M	9723236	10M5N10M0N10M2B5M	@	0.236767
205180	57	chr21	R	-	-4	5M2B10M0N10M6N10M	9722862	5M2B10M0N10M6N10M	9723236	10M5N10M0N10M2B5M	@	5.65959e-69
205180	57	chr21	R	-	-4	5M2B10M0N10M6N10M	9722862	5M2B10M0N10M6N10M	9723236	10M5N10M0N10M2B5M	@	4.42315e-73
205180	57	chr21	R	-	-4	5M2B10M0N10M6N10M	9722862	5M2B10M0N10M6N10M	9723236	10M5N10M0N10M2B5M	@	4.35955e-59
338337	61	chr21	L	+	3	5M2B10M0N10M6N10M	9723132	5M2B10M0N10M6N10M	9723364	10M5N10M0N10M2B5M	7	0.00116685
338337	61	chr21	L	+	3	5M2B10M0N10M6N10M	9723132	5M2B10M0N10M6N10M	9723364	10M5N10M0N10M2B5M	7	7.8731e-69
205180	63	chr21	L	-	-14	10M5N10M0N10M2B5M	9723236	10M5N10M0N10M2B5M	9722862	5M2B10M0N10M6N10M	'	0.000640071
80780	64	chr21	L	+	3	5M1B10M0N10M5N10M	9723305	5M1B10M0N10M5N10M	9723597	10M6N10M1N10M3B5M	A	0.0137843
237226	65	chr21	R	+	-8	10M5N10M0N10M2B5M	9723342	10M5N10M0N10M2B5M	9723110	5M2B10M0N10M6N10M	0	0.000390354
361945	65	chr21	L	+	-26	5M2B10M0N10M6N10M	9723324	5M2B10M0N10M6N10M	9723656	10M6N10M0N10M2B5M	2	0.00337941
237226	65	chr21	R	+	-8	10M5N10M0N10M2B5M	9723342	10M5N10M0N10M2B5M	9723110	5M2B10M0N10M6N10M	0	8.58623e-57
361945	65	chr21	L	+	-26	5M2B10M0N10M6N10M	9723324	5M2B10M0N10M6N10M	9723656	10M6N10M0N10M2B5M	2	2.36317e-67
237226	65	chr21	R	+	-8	10M5N10M0N10M2B5M	9723342	10M5N10M0N10M2B5M	9723110	5M2B10M0N10M6N10M	0	6.68659e-58
361945	65	chr21	L	+	-26	5M2B10M0N10M6N10M	9723324	5M2B10M0N10M6N10M	9723656	10M6N10M0N10M2B5M	2	1.82707e-74
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	0.253704
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	3.48878e-71
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	4.6452e-55
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	2.18325e-71
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	1.51669e-77
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	7.15078e-66
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	2.07876e-68
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	1.13813e-74
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	2.25877e-59
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	2.42558e-69
185209	68	chr21	L	+	-16	5M2B10M0N10M6N10M	9723456	5M2B10M0N10M6N10M	9723807	10M5N10M0N10M2B5M	L	5.16694e-60
253354	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724402	10M6N10M0N10M2B5M	4	0.434684
421973	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724405	10M6N10M0N10M2B5M	@	0.309795
253354	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724402	10M6N10M0N10M2B5M	4	9.26675e-78
421973	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724405	10M6N10M0N10M2B5M	@	2.11306e-73
253354	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724402	10M6N10M0N10M2B5M	4	3.25121e-83
421973	79	chr21	L	+	-20	5M2B10M0N10M6N10M	9724135	5M2B10M0N10M6N10M	9724405	10M6N10M0N10M2B5M	@	2.54404e-78
200245	82	chr21	R	-	-3	5M2B10M0N10M5N10M	9724273	5M2B10M0N10M5N10M	9724615	10M7N10M0N10M2B5M	/	0.00432187
411058	82	chr21	L	-	28	10M5N10M0N10M2B5M	9724304	10M5N10M0N10M2B5M	9724062	5M2B10M0N10M7N10M	$	0.182688
447839	82	chr21	R	+	9	10M5N10M0N10M2B5M	9724285	10M5N10M0N10M2B5M	9723914	5M2B10M0N10M6N10M	5	0.140225
411058	82	chr21	L	-	28	10M5N10M0N10M2B5M	9724304	10M5N10M0N10M2B5M	9724062	5M2B10M0N10M7N10M	$	0.182688
406813	83	chr21	R	-	-13	5M2B10M0N10M6N10M	9724326	5M2B10M0N10M6N10M	9724609	10M6N10M0N10M2B5M	T	0.0815185
253354	84	chr21	R	+	-14	10M6N10M0N10M2B5M	9724402	10M6N10M0N10M2B5M	9724135	5M2B10M0N10M6N10M	4	0.000116516
421973	84	chr21	R	+	-11	10M6N10M0N10M2B5M	9724405	10M6N10M0N10M2B5M	9724135	5M2B10M0N10M6N10M	@	0.000590799
399378	84	chr21	L	+	-11	5M2B10M1N10M6N10M	9724405	5M2B10M1N10M5N1P10M	9724662	10M6N10M0N10M2B5M	)	0.00585706
253354	84	chr21	R	+	-14	10M6N10M0N10M2B5M	9724402	10M6N10M0N10M2B5M	9724135	5M2B10M0N10M6N10M	4	0.000116516
421973	84	chr21	R	+	-11	10M6N10M0N10M2B5M	9724405	10M6N10M0N10M2B5M	9724135	5M2B10M0N10M6N10M	@	0.000590799
145222	85	chr21	R	+	-3	10M6N10M0N10M2B5M	9724463	10M6N10M0N10M2B5M	9724060	5M2B10M0N10M6N10M	Z	0.177687
388947	85	chr21	R	+	-12	10M6N10M0N10M2B5M	9724454	10M6N10M0N10M2B5M	9724151	5M2B10M0N10M5N10M	<	0.267959
398982	85	chr21	L	-	-20	10M6N10M0N10M2B5M	9724446	10M6N10M0N10M2B5M	9724120	5M2B10M0N10M5N10M	2	6.30006e-05
268461	86	chr21	L	-	-30	10M5N10M0N10M2B5M	9724476	10M5N10M0N10M2B5M	9724141	5M2B10M0N10M6N10M	-	0.00102656
268461	86	chr21	L	-	-30	10M5N10M0N10M2B5M	9724476	10M5N10M0N10M2B5M	9724141	5M2B10M0N10M6N10M	-	1.33698e-75
268461	86	chr21	L	-	-30	10M5N10M0N10M2B5M	9724476	10M5N10M0N10M2B5M	9724141	5M2B10M0N10M6N10M	-	2.21424e-65
200245	89	chr21	L	-	-26	10M7N10M0N10M2B5M	9724615	10M7N10M0N10M2B5M	9724273	5M2B10M0N10M5N10M	/	8.19926e-05
251201	89	chr21	R	-	-8	5M2B10M0N10M6N10M	9724633	5M2B10M0N10M6N10M	9724983	10M6N10M0N10M2B5M	6	0.32386
273531	89	chr21	L	-	-35	10M6N10M0N10M2B5M	9724606	10M6N10M0N10M2B5M	9724121	5M2B10M0N10M5N10M	)	0.413587
406813	89	chr21	L	-	-32	10M6N10M0N10M2B5M	9724609	10M6N10M0N10M2B5M	9724326	5M2B10M0N10M6N10M	3	0.340147
200245	89	chr21	L	-	-26	10M7N10M0N10M2B5M	9724615	10M7N10M0N10M2B4M1D1M	9724273	5M2B10M0N10M5N10M	/	8.19926e-05
273531	89	chr21	L	-	-35	10M6N10M0N10M2B5M	9724606	10M6N10M0N10M2B5M	9724121	5M2B10M0N10M5N10M	)	0.413587
406813	89	chr21	L	-	-32	10M6N10M0N10M2B5M	9724609	10M6N10M0N10M2B5M	9724326	5M2B10M0N10M6N10M	3	0.340147
399378	90	chr21	R	+	-25	10M6N10M0N10M2B5M	9724662	10M6N10M0N10M2B5M	9724405	5M2B10M1N10M5N10M	'	0.114978
399378	90	chr21	R	+	-25	10M6N10M0N10M2B5M	9724662	10M6N10M0N10M2B5M	9724405	5M2B10M1N10M5N10M	'	1.50117e-70
399378	90	chr21	R	+	-25	10M6N10M0N10M2B5M	9724662	10M6N10M0N10M2B5M	9724405	5M2B10M1N10M5N10M	'	2.32949e-65
399378	90	chr21	R	+	-25	10M6N10M0N10M2B5M	9724662	10M6N10M0N10M2B5M	9724405	5M2B10M1N10M5N10M	'	7.35133e-59
399378	90	chr21	R	+	-25	10M6N10M0N10M2B5M	9724662	10M6N10M0N10M2B5M	9724405	5M2B10M1N10M5N10M	'	1.04403e-69
251201	95	chr21	L	-	34	10M6N10M0N10M2B5M	9724983	10M6N10M0N10M2B5M	9724633	5M2B10M0N10M6N10M	:	0.000400552
251201	96	chr21	L	-	-24	10M6N10M0N10M2B5M	9724983	10M6N10M0N10M2B5M	9724633	5M2B10M0N10M6N10M	6	0.000400552
332628	96	chr21	R	-	7	5M2B10M0N10M4N10M	9725014	5M2B10M0N10M4N10M	9725443	10M6N10M0N10M2B5M	Q	0.0476335
306989	96	chr21	R	+	-29	10M6N10M0N10M2B5M	9724978	10M6N10M0N10M2B5M	9724679	5M2B10M0N10M7N10M	+	0.00405415
452712	97	chr21	L	-	-20	10M5N10M0N10M2B5M	9725054	10M5N10M0N10M2B5M	9724766	5M2B10M0N10M5N10M	5	0.0146554
