#SUBSET	chr21
#SUBSET_SOFTWARE	SECS_1.8.2.1
#ASSEMBLY_ID	GS19240-180-36-21-ASM
#DBSNP_BUILD	dbSNP build 130
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 05:39:36.249717
#GENERATED_BY	callannotate
#GENE_ANNOTATIONS	NCBI build 36.3
#GENOME_REFERENCE	NCBI build 36
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	GENE-VAR-SUMMARY-REPORT

>geneId	mrnaAcc	symbol	chromosome	begin	end	missense	nonsense	nonStop	frameshift	inframe	total	missenseNovel	nonsenseNovel	nonStopNovel	frameshiftNovel	inframeNovel	totalNovel	
100132509	XM_001715351.1	LOC100132509	chr21	14132973	14133540	1	0	0	0	0	1	1	0	0	0	0	1
391267	XR_037011.1	LOC391267	chr21	14198677	14274636	0	0	0	0	0	0	0	0	0	0	0	0
391269	XM_372876.5	C21orf126	chr21	14350816	14363285	0	0	0	0	0	0	0	0	0	0	0	0
149998	NM_198996.2	LIPI	chr21	14403004	14501125	3	0	0	0	0	3	0	0	0	0	0	0
54033	NM_144770.2	RBM11	chr21	14510349	14522552	2	0	0	0	0	2	0	0	0	0	0	0
150000	NR_003088.1	ABCC13	chr21	14567990	14585591	0	0	0	0	0	0	0	0	0	0	0	0
150000	NR_003087.1	ABCC13	chr21	14567990	14595578	0	0	0	0	0	0	0	0	0	0	0	0
6782	NM_006948.4	HSPA13	chr21	14665306	14677380	0	0	0	0	0	0	0	0	0	0	0	0
64092	NM_022136.3	SAMSN1	chr21	14779419	14840535	0	0	0	0	0	0	0	0	0	0	0	0
388813	XM_373925.6	LOC388813	chr21	14886119	14937316	2	0	0	0	0	2	0	0	0	0	0	0
8204	NM_003489.2	NRIP1	chr21	15255426	15262718	2	0	0	0	0	2	0	0	0	0	0	0
29761	NM_013396.3	USP25	chr21	16024366	16174248	0	0	0	0	0	0	0	0	0	0	0	0
388815	NM_001005733.1	C21orf34	chr21	16364712	16901413	0	0	0	0	0	0	0	0	0	0	0	0
388815	NM_001005732.1	C21orf34	chr21	16364712	16901413	0	0	0	0	0	0	0	0	0	0	0	0
388815	NM_001005734.1	C21orf34	chr21	16488569	16901413	0	0	0	0	0	0	0	0	0	0	0	0
1525	NM_001338.3	CXADR	chr21	17807200	17861147	0	0	0	0	0	0	0	0	0	0	0	0
100131401	XM_001718015.1	LOC100131401	chr21	17811152	17818750	0	0	0	0	0	0	0	0	0	0	0	0
10950	NM_006806.3	BTG3	chr21	17887841	17907033	0	0	0	0	0	0	0	0	0	0	0	0
54149	NM_001100421.1	C21orf91	chr21	18083154	18113574	0	0	0	0	0	0	0	0	0	0	0	0
54149	NM_001100420.1	C21orf91	chr21	18083154	18113574	0	0	0	0	0	0	0	0	0	0	0	0
54149	NM_017447.3	C21orf91	chr21	18083154	18113574	0	0	0	0	0	0	0	0	0	0	0	0
140578	NM_024944.2	CHODL	chr21	18539020	18561558	0	0	0	0	0	0	0	0	0	0	0	0
5651	NM_002772.1	PRSS7	chr21	18563560	18697841	3	0	0	0	0	3	1	0	0	0	0	1
4685	NM_004540.2	NCAM2	chr21	21292503	21833085	1	0	0	0	0	1	0	0	0	0	0	0
284821	XR_016232.2	LOC284821	chr21	25655976	25657120	0	0	0	0	0	0	0	0	0	0	0	0
54148	NM_017446.3	MRPL39	chr21	25879838	25901672	0	0	0	0	0	0	0	0	0	0	0	0
54148	NM_080794.3	MRPL39	chr21	25879838	25901672	0	0	0	0	0	0	0	0	0	0	0	0
58494	NM_021219.2	JAM2	chr21	25933459	26009106	1	0	0	0	0	1	0	0	0	0	0	0
522	NM_001685.4	ATP5J	chr21	26018661	26029836	1	0	0	0	0	1	0	0	0	0	0	0
522	NM_001003696.1	ATP5J	chr21	26018661	26029836	1	0	0	0	0	1	0	0	0	0	0	0
522	NM_001003697.1	ATP5J	chr21	26018661	26029836	1	0	0	0	0	1	0	0	0	0	0	0
522	NM_001003701.1	ATP5J	chr21	26018661	26029836	1	0	0	0	0	1	0	0	0	0	0	0
522	NM_001003703.1	ATP5J	chr21	26018661	26029836	1	0	0	0	0	1	0	0	0	0	0	0
2551	NM_002040.2	GABPA	chr21	26029569	26066213	0	0	0	0	0	0	0	0	0	0	0	0
351	NM_201413.1	APP	chr21	26174731	26465003	0	0	0	0	0	0	0	0	0	0	0	0
351	NM_201414.1	APP	chr21	26174731	26465003	0	0	0	0	0	0	0	0	0	0	0	0
351	NM_000484.2	APP	chr21	26174731	26465003	0	0	0	0	0	0	0	0	0	0	0	0
116159	NM_052954.2	CYYR1	chr21	26760398	26867452	1	0	0	0	0	1	0	0	0	0	0	0
9510	NM_006988.3	ADAMTS1	chr21	27130476	27139599	2	0	0	0	0	2	1	0	0	0	0	1
11096	NM_007038.2	ADAMTS5	chr21	27212111	27260703	0	0	0	0	0	0	0	0	0	0	0	0
246705	XR_017891.2	C21orf94	chr21	28316920	28317109	0	0	0	0	0	0	0	0	0	0	0	0
29104	NM_013240.3	N6AMT1	chr21	29166383	29179564	6	0	0	0	0	6	0	0	0	0	0	0
29104	NM_182749.2	N6AMT1	chr21	29166383	29179564	6	0	0	0	0	6	0	0	0	0	0	0
26046	NM_015565.1	ZNF294	chr21	29222336	29287095	4	0	0	0	0	4	0	0	0	0	0	0
10069	NM_016940.1	RWDD2B	chr21	29299950	29313563	0	0	0	0	0	0	0	0	0	0	0	0
10600	NM_001001992.1	USP16	chr21	29318808	29348680	0	0	0	0	0	0	0	0	0	0	0	0
10600	NM_001032410.1	USP16	chr21	29318808	29348680	0	0	0	0	0	0	0	0	0	0	0	0
10600	NM_006447.2	USP16	chr21	29318808	29348680	0	0	0	0	0	0	0	0	0	0	0	0
10694	NM_006585.2	CCT8	chr21	29350517	29367881	0	0	0	0	0	0	0	0	0	0	0	0
56911	NM_020152.2	C21orf7	chr21	29374743	29470075	0	0	0	0	0	0	0	0	0	0	0	0
571	NM_001186.2	BACH1	chr21	29593090	29640340	0	0	0	0	0	0	0	0	0	0	0	0
571	NM_206866.1	BACH1	chr21	29593607	29640340	0	0	0	0	0	0	0	0	0	0	0	0
571	NM_001011545.1	BACH1	chr21	29599430	29656088	0	0	0	0	0	0	0	0	0	0	0	0
54073	NR_002215.1	C21orf41	chr21	29621320	29924942	0	0	0	0	0	0	0	0	0	0	0	0
2897	NM_175611.2	GRIK1	chr21	29831124	30234153	0	0	0	0	0	0	0	0	0	0	0	0
2897	NM_000830.3	GRIK1	chr21	29847736	30234153	0	0	0	0	0	0	0	0	0	0	0	0
100131748	XM_001720046.1	LOC100131748	chr21	29890542	29890665	0	0	0	0	0	0	0	0	0	0	0	0
54073	NR_002214.1	C21orf41	chr21	29890799	29924942	0	0	0	0	0	0	0	0	0	0	0	0
642976	XR_041045.1	C21orf9	chr21	30053044	30053155	0	0	0	0	0	0	0	0	0	0	0	0
26285	NM_012131.1	CLDN17	chr21	30460131	30460806	0	0	0	0	0	0	0	0	0	0	0	0
9073	NM_199328.1	CLDN8	chr21	30508200	30510189	3	0	0	0	0	3	1	0	0	0	0	1
643803	NM_001085455.1	KRTAP24-1	chr21	30575497	30577147	0	0	0	0	0	0	0	0	0	0	0	0
100131902	XM_001720188.1	LOC100131902	chr21	30583370	30583679	2	0	0	0	0	2	0	0	0	0	0	0
388818	NM_203405.1	KRTAP26-1	chr21	30613319	30614478	0	0	0	0	0	0	0	0	0	0	0	0
643812	NM_001077711.1	KRTAP27-1	chr21	30631201	30631883	0	0	0	0	0	0	0	0	0	0	0	0
337963	NM_181624.1	KRTAP23-1	chr21	30642587	30642795	0	0	0	0	0	0	0	0	0	0	0	0
337959	NM_181621.3	KRTAP13-2	chr21	30665579	30666428	0	0	0	0	0	0	0	0	0	0	0	0
140258	NM_181599.2	KRTAP13-1	chr21	30690262	30691011	0	0	0	0	0	0	0	0	0	0	0	0
337960	NM_181622.1	KRTAP13-3	chr21	30719581	30720101	0	0	0	0	0	0	0	0	0	0	0	0
284827	NM_181600.1	KRTAP13-4	chr21	30724464	30724947	0	0	0	0	0	0	0	0	0	0	0	0
254950	NM_181623.1	KRTAP15-1	chr21	30734516	30734969	0	0	0	0	0	0	0	0	0	0	0	0
337882	NM_181607.1	KRTAP19-1	chr21	30774234	30774507	0	0	0	0	0	0	0	0	0	0	0	0
337969	NM_181608.1	KRTAP19-2	chr21	30781379	30781538	2	0	0	0	0	2	0	0	0	0	0	0
337970	NM_181609.3	KRTAP19-3	chr21	30785652	30786146	0	0	0	0	0	0	0	0	0	0	0	0
337971	NM_181610.1	KRTAP19-4	chr21	30791044	30791299	2	0	0	0	0	2	0	0	0	0	0	0
337972	NM_181611.1	KRTAP19-5	chr21	30796060	30796279	0	0	0	0	0	0	0	0	0	0	0	0
337973	NM_181612.2	KRTAP19-6	chr21	30835722	30836052	2	0	0	2	0	4	2	0	0	0	0	2
337974	NM_181614.1	KRTAP19-7	chr21	30855287	30855479	0	0	0	0	0	0	0	0	0	0	0	0
337968	NM_181605.3	KRTAP6-3	chr21	30886629	30887245	0	0	0	0	0	0	0	0	0	0	0	0
337967	NM_181604.1	KRTAP6-2	chr21	30892875	30893064	0	0	0	0	0	0	0	0	0	0	0	0
337979	NM_181620.1	KRTAP22-1	chr21	30895310	30895457	2	0	0	0	0	2	0	0	0	0	0	0
337966	NM_181602.1	KRTAP6-1	chr21	30907875	30908094	0	0	0	0	0	0	0	0	0	0	0	0
337975	NM_181615.1	KRTAP20-1	chr21	30910644	30910815	0	0	0	0	0	0	0	0	0	0	0	0
337976	NM_181616.1	KRTAP20-2	chr21	30929453	30929651	0	0	0	0	0	0	0	0	0	0	0	0
337978	NM_181617.1	KRTAP21-2	chr21	31041139	31041391	0	0	0	0	0	0	0	0	0	0	0	0
337977	NM_181619.1	KRTAP21-1	chr21	31049327	31049567	0	0	0	0	0	0	0	0	0	0	0	0
337879	NM_175857.3	KRTAP8-1	chr21	31106885	31107441	0	0	0	0	0	0	0	0	0	0	0	0
337880	NM_175858.2	KRTAP11-1	chr21	31174833	31175745	0	0	0	0	0	0	0	0	0	0	0	0
728299	NM_001099219.1	KRTAP19-8	chr21	31332348	31332666	1	0	0	0	0	1	0	0	0	0	0	0
7074	NM_003253.2	TIAM1	chr21	31412606	31853161	0	0	0	0	0	0	0	0	0	0	0	0
150051	XR_040911.1	LOC150051	chr21	31852793	31854671	0	0	0	0	0	0	0	0	0	0	0	0
6647	NM_000454.4	SOD1	chr21	31953805	31963115	0	0	0	0	0	0	0	0	0	0	0	0
57466	NM_020706.1	SFRS15	chr21	31965415	32026133	0	0	0	0	0	0	0	0	0	0	0	0
30811	NM_014586.1	HUNK	chr21	32167498	32298248	0	0	0	0	0	0	0	0	0	0	0	0
54069	NM_018944.2	C21orf45	chr21	32562400	32573247	0	0	0	0	0	0	0	0	0	0	0	0
100128198	XM_001720415.1	LOC100128198	chr21	32577675	32578343	0	0	0	0	0	0	0	0	0	0	0	0
56246	NM_178817.3	MRAP	chr21	32585994	32606472	0	0	0	0	0	0	0	0	0	0	0	0
56246	NM_206898.1	MRAP	chr21	32585994	32608966	0	0	0	0	0	0	0	0	0	0	0	0
677846	NR_002996.2	SNORA80	chr21	32671366	32671502	0	0	0	0	0	0	0	0	0	0	0	0
84996	XR_040264.1	C21orf119	chr21	32687325	32688140	0	0	0	0	0	0	0	0	0	0	0	0
59271	NM_058187.3	C21orf63	chr21	32706622	32809568	0	0	0	0	0	0	0	0	0	0	0	0
55264	XR_017737.1	C21orf77	chr21	32869021	32870473	0	0	0	0	0	0	0	0	0	0	0	0
140290	NM_144659.4	TCP10L	chr21	32870732	32879714	0	0	0	0	0	0	0	0	0	0	0	0
56683	NM_021254.1	C21orf59	chr21	32895965	32906537	1	0	0	0	0	1	1	0	0	0	0	1
8867	NM_203446.1	SYNJ1	chr21	32922943	33022105	1	0	0	0	0	1	0	0	0	0	0	0
8867	NM_003895.2	SYNJ1	chr21	32922943	33022148	1	0	0	0	2	3	0	0	0	0	0	0
94104	NM_016631.3	C21orf66	chr21	33028080	33066040	0	0	0	0	0	0	0	0	0	0	0	0
94104	NM_013329.3	C21orf66	chr21	33035520	33066040	0	0	0	0	0	0	0	0	0	0	0	0
94104	NM_058191.3	C21orf66	chr21	33049593	33066040	0	0	0	0	0	0	0	0	0	0	0	0
54067	XR_017893.2	C21orf49	chr21	33066343	33091825	0	0	0	0	0	0	0	0	0	0	0	0
56245	NM_019596.3	C21orf62	chr21	33084854	33107876	0	0	0	2	0	2	0	0	0	0	0	0
10215	NM_005806.2	OLIG2	chr21	33320108	33323370	0	0	0	0	0	0	0	0	0	0	0	0
116448	NM_138983.1	OLIG1	chr21	33364442	33366596	0	0	0	0	0	0	0	0	0	0	0	0
728409	XR_041629.1	LOC728409	chr21	33459786	33464411	0	0	0	0	0	0	0	0	0	0	0	0
3455	NM_000874.3	IFNAR2	chr21	33524100	33556932	0	0	0	0	0	0	0	0	0	0	0	0
3455	NM_207584.1	IFNAR2	chr21	33524100	33556932	0	0	0	0	0	0	0	0	0	0	0	0
3455	NM_207585.1	IFNAR2	chr21	33524100	33558697	0	0	0	0	0	0	0	0	0	0	0	0
3588	NM_000628.3	IL10RB	chr21	33560541	33591390	0	0	0	0	0	0	0	0	0	0	0	0
3454	NM_000629.2	IFNAR1	chr21	33619083	33653999	0	0	0	0	0	0	0	0	0	0	0	0
3460	NM_005534.2	IFNGR2	chr21	33697071	33731696	2	0	0	0	0	2	0	0	0	0	0	0
757	NM_006134.5	TMEM50B	chr21	33743317	33774151	0	0	0	0	0	0	0	0	0	0	0	0
54943	NM_017833.3	DNAJC28	chr21	33782107	33785660	0	0	0	0	0	0	0	0	0	0	0	0
54943	NM_001040192.1	DNAJC28	chr21	33782107	33785893	0	0	0	0	0	0	0	0	0	0	0	0
2618	NM_000819.3	GART	chr21	33798138	33836286	2	0	0	0	0	2	0	0	0	0	0	0
2618	NM_175085.1	GART	chr21	33818185	33836286	2	0	0	0	0	2	0	0	0	0	0	0
6651	NM_032195.1	SON	chr21	33837219	33854843	4	0	0	0	0	4	0	0	0	0	0	0
6651	NM_138927.1	SON	chr21	33837219	33871682	4	0	0	4	0	8	0	0	0	0	0	0
29980	NM_017613.2	DONSON	chr21	33872080	33882884	0	0	0	0	0	0	0	0	0	0	0	0
9946	NM_145858.2	CRYZL1	chr21	33883516	33936030	0	0	0	0	0	0	0	0	0	0	0	0
6453	NM_001001132.1	ITSN1	chr21	33936653	34132672	0	0	0	0	0	0	0	0	0	0	0	0
6453	NM_003024.2	ITSN1	chr21	33936653	34183479	0	0	0	0	0	0	0	0	0	0	0	0
539	NM_001697.2	ATP5O	chr21	34197626	34210028	1	0	0	0	0	1	1	0	0	0	0	1
400863	XR_041642.1	FLJ46020	chr21	34256981	34257356	0	0	0	0	0	0	0	0	0	0	0	0
64968	NM_032476.2	MRPS6	chr21	34367692	34437200	0	0	0	0	0	0	0	0	0	0	0	0
6526	NM_006933.4	SLC5A3	chr21	34367739	34400431	4	0	0	0	0	4	0	0	0	0	0	0
9992	NM_172201.1	KCNE2	chr21	34658192	34665310	0	0	0	0	0	0	0	0	0	0	0	0
54065	NM_058182.4	FAM165B	chr21	34669618	34683322	0	0	0	0	0	0	0	0	0	0	0	0
388820	XR_042089.1	LOC388820	chr21	34713385	34718110	0	0	0	0	0	0	0	0	0	0	0	0
3753	NM_000219.2	KCNE1	chr21	34740857	34806443	2	0	0	0	0	2	0	0	0	0	0	0
1827	NM_203418.1	RCAN1	chr21	34810651	34821131	0	0	0	0	0	0	0	0	0	0	0	0
1827	NM_203417.1	RCAN1	chr21	34810651	34908615	0	0	0	0	0	0	0	0	0	0	0	0
1827	NM_004414.5	RCAN1	chr21	34810651	34909252	0	0	0	0	0	0	0	0	0	0	0	0
54102	NM_053277.1	CLIC6	chr21	34963557	35012389	0	0	0	0	0	0	0	0	0	0	0	0
861	NM_001001890.1	RUNX1	chr21	35081967	35182857	1	0	0	0	0	1	1	0	0	0	0	1
861	NM_001754.3	RUNX1	chr21	35081967	35343465	0	0	0	0	0	0	0	0	0	0	0	0
80215	XR_040896.1	C21orf96	chr21	35332609	35333811	0	0	0	0	0	0	0	0	0	0	0	0
54093	NM_017438.2	SETD4	chr21	36328708	36358576	0	0	0	0	0	0	0	0	0	0	0	0
54093	NM_001007259.1	SETD4	chr21	36337851	36354481	0	0	0	0	0	0	0	0	0	0	0	0
873	NM_001757.2	CBR1	chr21	36364154	36367332	0	0	0	0	0	0	0	0	0	0	0	0
100133286	XM_001721321.1	LOC100133286	chr21	36364167	36420808	0	0	0	0	0	0	0	0	0	0	0	0
874	NM_001236.3	CBR3	chr21	36429132	36440730	2	0	0	0	0	2	0	0	0	0	0	0
9980	NM_005128.2	DOPEY2	chr21	36458708	36588442	2	0	0	0	0	2	0	0	0	0	0	0
402026	XR_016638.2	LOC402026	chr21	36587759	36589909	0	0	0	0	0	0	0	0	0	0	0	0
23515	NM_015358.1	MORC3	chr21	36614375	36670814	0	0	0	0	0	0	0	0	0	0	0	0
8208	NM_005441.2	CHAF1B	chr21	36679558	36710995	0	0	0	0	0	0	0	0	0	0	0	0
23562	NM_012130.2	CLDN14	chr21	36754788	36760595	0	0	0	0	0	0	0	0	0	0	0	0
23562	NM_144492.1	CLDN14	chr21	36754788	36774258	0	0	0	0	0	0	0	0	0	0	0	0
728816	XM_001715417.1	LOC728816	chr21	36820447	36837728	2	0	0	0	0	2	0	0	0	0	0	0
6493	NM_009586.1	SIM2	chr21	36993860	37040495	0	0	0	0	0	0	0	0	0	0	0	0
6493	NM_005069.2	SIM2	chr21	36993860	37044088	0	0	0	0	0	0	0	0	0	0	0	0
3141	NM_000411.4	HLCS	chr21	37045058	37284373	0	0	0	0	0	0	0	0	0	0	0	0
53820	NM_018962.1	DSCR6	chr21	37300732	37313829	0	0	0	0	0	0	0	0	0	0	0	0
51227	NM_153681.2	PIGP	chr21	37359533	37366973	2	0	0	0	0	2	1	0	0	0	0	1
51227	NM_153682.2	PIGP	chr21	37359533	37367328	0	0	0	0	0	0	0	0	0	0	0	0
7267	NM_001001894.1	TTC3	chr21	37367440	37497278	5	0	0	0	0	5	0	0	0	0	0	0
7267	NM_003316.3	TTC3	chr21	37377116	37497278	5	0	0	0	0	5	0	0	0	0	0	0
257203	NM_148675.3	DSCR9	chr21	37502673	37515907	0	0	0	0	0	0	0	0	0	0	0	0
10311	NM_006052.1	DSCR3	chr21	37517595	37561703	0	0	0	0	0	0	0	0	0	0	0	0
100128484	XM_001715473.1	LOC100128484	chr21	37660084	37660966	0	0	0	0	0	0	0	0	0	0	0	0
100130030	XM_001721653.1	LOC100130030	chr21	37660965	37809550	0	0	0	0	0	0	0	0	0	0	0	0
1859	NM_101395.2	DYRK1A	chr21	37661728	37809549	0	0	0	0	0	0	0	0	0	0	0	0
1859	NM_130436.2	DYRK1A	chr21	37713076	37809549	0	0	0	0	0	0	0	0	0	0	0	0
1859	NM_130438.2	DYRK1A	chr21	37714470	37809549	0	0	0	0	0	0	0	0	0	0	0	0
1859	NM_130437.2	DYRK1A	chr21	37714470	37809549	0	0	0	0	0	0	0	0	0	0	0	0
1859	NM_001396.3	DYRK1A	chr21	37714471	37809549	0	0	0	0	0	0	0	0	0	0	0	0
3763	NM_002240.2	KCNJ6	chr21	37918654	38210566	0	0	0	0	0	0	0	0	0	0	0	0
10281	NM_005867.2	DSCR4	chr21	38348182	38415324	0	0	0	0	0	0	0	0	0	0	0	0
84677	XR_040165.1	DSCR8	chr21	38415468	38450475	0	0	0	0	0	0	0	0	0	0	0	0
259234	NM_148676.2	DSCR10	chr21	38500119	38502608	0	0	0	0	0	0	0	0	0	0	0	0
441964	XM_497783.2	LOC441964	chr21	38540754	38586379	2	0	0	1	0	3	0	0	0	0	0	0
3772	NM_002243.3	KCNJ15	chr21	38550533	38595618	0	0	0	0	0	0	0	0	0	0	0	0
3772	NM_170736.1	KCNJ15	chr21	38550739	38595618	0	0	0	0	0	0	0	0	0	0	0	0
3772	NM_170737.1	KCNJ15	chr21	38566298	38595618	0	0	0	0	0	0	0	0	0	0	0	0
100131955	XM_001715532.1	LOC100131955	chr21	38595354	38656219	1	0	0	0	0	1	0	0	0	0	0	0
2078	NM_182918.2	ERG	chr21	38675670	38792267	0	0	0	0	0	0	0	0	0	0	0	0
2078	NM_004449.3	ERG	chr21	38675670	38955488	0	0	0	0	0	0	0	0	0	0	0	0
100131588	XM_001721782.1	LOC100131588	chr21	38796238	38796409	0	0	0	0	0	0	0	0	0	0	0	0
400866	XR_041646.1	C21orf24	chr21	39045848	39046271	0	0	0	0	0	0	0	0	0	0	0	0
2114	NM_005239.4	ETS2	chr21	39099718	39118749	0	0	0	0	0	0	0	0	0	0	0	0
400867	NM_001001692.1	FLJ45139	chr21	39171084	39232223	0	0	0	1	0	1	0	0	0	0	0	0
391282	XM_372878.4	LOC391282	chr21	39420961	39421836	7	0	0	0	0	7	0	0	0	0	0	0
8624	NM_203433.1	PSMG1	chr21	39469253	39477310	0	0	0	0	0	0	0	0	0	0	0	0
8624	NM_003720.2	PSMG1	chr21	39469253	39477310	0	0	0	0	0	0	0	0	0	0	0	0
54014	NM_018963.3	BRWD1	chr21	39479273	39607426	6	0	0	0	0	6	0	0	0	0	0	0
54014	NM_033656.2	BRWD1	chr21	39484017	39607426	6	0	0	0	0	6	0	0	0	0	0	0
54014	NM_001007246.1	BRWD1	chr21	39590234	39607426	0	0	0	0	0	0	0	0	0	0	0	0
257357	XR_040389.1	C21orf87	chr21	39607756	39608758	0	0	0	0	0	0	0	0	0	0	0	0
3150	NM_004965.6	HMGN1	chr21	39636110	39642917	0	0	0	0	0	0	0	0	0	0	0	0
7485	NM_004627.2	WRB	chr21	39674139	39691496	0	0	0	0	0	0	0	0	0	0	0	0
150082	NM_152505.3	LCA5L	chr21	39699639	39737998	0	0	0	0	0	0	0	0	0	0	0	0
6450	NM_001001713.1	SH3BGR	chr21	39739666	39809303	1	0	0	0	1	2	0	0	0	0	0	0
6450	NM_007341.2	SH3BGR	chr21	39745649	39809303	1	0	0	0	1	2	0	0	0	0	0	0
114041	XR_040124.1	C21orf88	chr21	39890943	39906619	0	0	0	0	0	0	0	0	0	0	0	0
114041	XR_040126.1	C21orf88	chr21	39894047	39906619	0	0	0	0	0	0	0	0	0	0	0	0
114041	XR_040125.1	C21orf88	chr21	39899395	39906621	0	0	0	0	0	0	0	0	0	0	0	0
10317	NM_033171.1	B3GALT5	chr21	39951123	39956685	0	0	0	0	0	0	0	0	0	0	0	0
10317	NM_033170.1	B3GALT5	chr21	39951123	39956685	0	0	0	0	0	0	0	0	0	0	0	0
10317	NM_033172.1	B3GALT5	chr21	39951123	39956685	0	0	0	0	0	0	0	0	0	0	0	0
10317	NM_033173.1	B3GALT5	chr21	39951123	39956685	0	0	0	0	0	0	0	0	0	0	0	0
10317	NM_006057.1	B3GALT5	chr21	39951123	39956685	0	0	0	0	0	0	0	0	0	0	0	0
732226	XM_001715651.1	LOC732226	chr21	40021497	40024532	1	1	0	0	0	2	0	0	0	0	0	0
150084	NM_001080444.1	IGSF5	chr21	40039203	40095893	1	0	0	0	0	1	0	0	0	0	0	0
5121	NM_006198.2	PCP4	chr21	40161216	40223192	0	0	0	0	0	0	0	0	0	0	0	0
1826	NM_001389.3	DSCAM	chr21	40306212	41140909	1	0	0	0	0	1	0	0	0	0	0	0
25825	NM_138991.1	BACE2	chr21	41461597	41570394	0	0	0	0	0	0	0	0	0	0	0	0
25825	NM_012105.3	BACE2	chr21	41461597	41570394	0	0	0	0	0	0	0	0	0	0	0	0
25825	NM_138992.1	BACE2	chr21	41461597	41570394	0	0	0	0	0	0	0	0	0	0	0	0
191585	NM_182832.2	PLAC4	chr21	41469027	41479036	3	0	0	1	0	4	3	0	0	1	0	4
54097	NM_058186.3	FAM3B	chr21	41610530	41651524	0	0	0	0	0	0	0	0	0	0	0	0
54097	NM_206964.1	FAM3B	chr21	41610530	41651524	0	0	0	0	0	0	0	0	0	0	0	0
4600	NM_002463.1	MX2	chr21	41655819	41702739	0	0	0	0	0	0	0	0	0	0	0	0
100131190	XM_001722162.1	LOC100131190	chr21	41657428	41657848	1	0	0	0	0	1	0	0	0	0	0	0
4599	NM_002462.2	MX1	chr21	41720023	41753008	0	0	0	0	0	0	0	0	0	0	0	0
7113	NM_005656.2	TMPRSS2	chr21	41758350	41801948	0	0	0	0	0	0	0	0	0	0	0	0
100130534	XM_001722209.1	LOC100130534	chr21	41760108	41760885	4	0	0	0	0	4	0	0	0	0	0	0
150135	XR_040347.1	C21orf129	chr21	42006084	42008982	0	0	0	0	0	0	0	0	0	0	0	0
54101	NM_020639.2	RIPK4	chr21	42032597	42060318	0	0	0	0	0	0	0	0	0	0	0	0
63977	NM_001040424.1	PRDM15	chr21	42091453	42172651	2	0	0	0	0	2	0	0	0	0	0	0
63977	NM_022115.3	PRDM15	chr21	42094393	42172660	2	0	0	0	0	2	0	0	0	0	0	0
25966	NM_199050.2	C2CD2	chr21	42178287	42219868	0	0	0	0	0	0	0	0	0	0	0	0
25966	NM_015500.1	C2CD2	chr21	42178287	42247068	0	0	0	0	0	0	0	0	0	0	0	0
49854	NM_001098403.1	ZNF295	chr21	42280008	42303565	0	0	0	0	0	0	0	0	0	0	0	0
49854	NM_001098402.1	ZNF295	chr21	42280008	42303565	0	0	0	0	0	0	0	0	0	0	0	0
49854	NM_020727.4	ZNF295	chr21	42280008	42303565	0	0	0	0	0	0	0	0	0	0	0	0
150142	XR_040351.1	C21orf121	chr21	42317488	42318129	0	0	0	0	0	0	0	0	0	0	0	0
